,College Name and Program,Country,CourseURL,Degree,Duration,Duration Unit,ECTS Credits,Experience_In Years,FeeAmount,FeeCurrency,FeeUnit,TOEFL IBT,desc,name,
362,['Catholic University of America'],United States,http://www.mastersportal.eu/studies/161991/church-administration.html,mba,12,months,,,,,,80,The Masters in Church Administration (M.C.A.) degree is a one-year residential program providing graduate education for curial and parochial officials engaged in a wide variety of ministries in the diocese other than Canonical Affairs or the Diocesan Tribunal.,Church Administration,
363,"['Department of Government', 'London School of Economics and Political Science']",China,http://www.mastersportal.eu/studies/28584/lse-pku-double-degree-in-public-administration-and-government.html,msc,24,months,120,,20904,GBP,year,107,"Organised jointly by LSE and Peking University, this double MSc degree offers an outstanding opportunity for graduate students and young professionals. The first year is spent at the School of Government at Peking University, with a focus on public policy and administration in China and the Asia Pacific region. The second year is spent at LSE, studying public policy and administration.",LSE – PKU Double Degree in Public Administration and Government,
364,['Kent State University'],United States,http://www.mastersportal.eu/studies/99681/educational-administration-k-12-leadership.html,ma,,,,,19362,USD,year,,The Master of Arts and the Master of Education in Educational Administration–K-12 Leadership prepares teachers to become administrators in public and private school settings. This is an academically rigorous and experientially intense program where future school leaders are challenged to excel and take their learning and potential to the next level by developing  knowledge and understanding of current and developing leadership theories and practices in a democratic society.,Educational Administration–K-12 Leadership,
365,['Australian Catholic University'],Australia,http://www.mastersportal.eu/studies/60788/health-administration.html,,18,months,,,20000,AUD,year,90,This Health Administration Masters degree from the Australian Catholic University will expand your knowledge and skills in health administration.,Health Administration,
366,['Wichita State University'],United States,http://www.mastersportal.eu/studies/106151/public-administration.html,,24,months,,,672,USD,credit,80,"The Master of Public Administration degree program, with instruction in public management, public finance and public policy, prepares students for positions of leadership in public and nonprofit organizations. Graduates of the program serve as city managers and department heads, program managers, finance directors, budget analysts, management analysts and agency planners.",Public Administration,
367,['University of East Anglia'],United Kingdom,http://www.mastersportal.eu/studies/153524/public-policy-and-public-management.html,ma,12,months,,,14800,GBP,year,88,"In a world which - it is often argued - is becoming more globalised, we need more than ever a critical understanding of how and why public institutions’ decisions are made, and what happens as a result. This MA in Public Policy and Public Management at University of East Anglia develops an advanced understanding of public policy and public management and their many facets, at national and international levels.",Public Policy and Public Management,
368,['Cal Poly Pomona University'],United States,http://www.mastersportal.eu/studies/183372/public-administration.html,,24,months,,,,,,71,"This program is designed to prepare individuals to be successful professionals and managers in the public sector at a time when government itself is being redefined. The program focuses on the relationships among public agencies, private sector as well as non-profit entities.",Public Administration,
369,"['Public Administration', 'IDHEAP, Swiss Graduate School of Public Administration']",Switzerland,http://www.mastersportal.eu/studies/20287/international-master-of-public-administration.html,msc,12,months,60,,20286,EUR,full,,"The iMPA, Université de Lausanne is a one-year, 60 ECTS postgraduate programme in English specifically designed for future Public or Non-Profit Sector managers who want to acquire the management skills and analytical capabilities necessary to reach leadership positions.",International Master of Public Administration,
370,['Catholic University of America'],United States,http://www.mastersportal.eu/studies/162204/emergency-service-administration.html,msc,,,,,,,,80,"A Master of Science in Emergency Service Administration (M.S.-E.S.A.) is a professional degree designed to prepare students for leadership and managerial roles in emergency service organizations.  Students are given a strong foundation in analytical problem solving, budgeting and finance, ethics, legal and policy analyses related to emergency services in both the private and public sectors. ",Emergency Service Administration,
371,"['Faculty of Law and Social Sciences', 'SOAS University of London']",United Kingdom,http://www.mastersportal.eu/studies/114094/public-financial-management.html,msc,12,months,,,18900,GBP,year,105,"This Public Financial Management MSc provides students with a conceptual understanding of the core principles of public financial management, and with the development of capabilities and skills to apply theoretical and domain knowledge to problems encountered in the financial management of public sector organisations.",Public Financial Management,
372,['Australian National University'],Australia,http://www.mastersportal.eu/studies/94355/public-administration.html,,24,months,,3,39024,AUD,year,80,"The Master of Public Administration program is designed for future leaders of government, civil society and market organisations responsible for pursuing the public interest.",Public Administration,
373,['University of Oregon'],United States,http://www.mastersportal.eu/studies/114639/community-and-regional-planning.html,,24,months,,,27591,USD,year,88,"The Master of Community and Regional Planning (CRP) program trains policy-oriented planners for leadership positions in the public, nonprofit and private sectors. The program is ideal for students seeking a challenging education with a strong emphasis on applied learning.",Community and Regional Planning,
374,"['Hertie School of Governance', ""Master's Programmes and Executive Education""]",Germany,http://www.mastersportal.eu/studies/16725/public-administration.html,,12,months,60,2,29500,EUR,full,90,The Master in Public Administration (Executive) programme from Hertie School of Governance is aimed at highly motivated professionals with proven leadership potential or experience. ,Public Administration (Executive),
375,"['Faculty of Social Sciences', 'University of Bergen']",Norway,http://www.mastersportal.eu/studies/400/public-administration.html,mphil,24,months,120,,0,EUR,year,80,"The objective of the Master of Philosophy in Public Administration (MPA) from University of Bergen is to enhance the students' ability to conduct independent analyses of organizations, political and administrative structures and processes, and public policy.",Public Administration,
376,"['University of Wroclaw', 'Faculty of Law, Administration and Economics']",Poland,http://www.mastersportal.eu/studies/39281/administration-in-international-organizations.html,ma,24,months,120,,3000,EUR,year,60,"The Administration in International Organizations programme from University of Wroclaw lasts 2 years (4 semesters). To obtain a master's degree, students must write and defend a master thesis.",Administration in International Organizations,
377,['Danube University Krems'],Austria,http://www.mastersportal.eu/studies/133172/erasmus-mundus-joint-master-in-research-and-innovation-in-higher-education-marihe.html,msc,24,months,120,,12000,EUR,full,,"Erasmus Mundus/Erasmus+ joint international master preparing participants for management and research of higher education, research and innovation systems. 
2-year (4 semesters) programme, offers study at consortium universities in Austria, Finland, China, India, Germany, and Hungary.
Renowned international faculty, and internship as part of the MARIHE programme.",Erasmus Mundus Joint Master in Research and Innovation in Higher Education - MARIHE,
378,"['University of the West of Scotland', 'School of Media Culture and Society']",United Kingdom,http://www.mastersportal.eu/studies/156201/policy-analysis-and-global-governance.html,msc,12,months,,,12300,GBP,year,,"Underpinned by high-quality training in social science research methodologies and work-related learning, this new programme provides you with in-depth knowledge and expertise in public policy analysis within an international and comparative context. The Policy Analysis and Global Governance programme is offered at the University of the West of Scotland.",Policy Analysis and Global Governance,
379,"['Roosevelt University', 'Roosevelt University International Study Centre']",United States,http://www.mastersportal.eu/studies/148874/public-administration.html,premaster,4,months,,,13500,USD,semester,60,"The Public Administration (Health Care, Non-Profit, Government) Pre-Master's Program offered by Roosevelt University provides transitional support for entry into master's degrees.","Public Administration (Health Care, Non-Profit, Government)",
380,"['Engineering Sciences', 'University College London (UCL)']",United Kingdom,http://www.mastersportal.eu/studies/155454/science-engineering-and-public-policy.html,,12,months,0,,24860,GBP,year,100,"The flexible and
globally unique Master’s of Public Administration in Science, Engineering and Public Policy offered by University of College London (UCL) provides graduates with
skills and insights to lead change and navigate decision-making at the
intersection of science, engineering and public policy.","Science, Engineering and Public Policy",
381,['Western Kentucky University'],United States,http://www.mastersportal.eu/studies/101796/organizational-leadership.html,ma,24,months,,,10353,USD,semester,79,Organizational Leadership lets you select your elective courses based on your personal interests and professional goals. Students develop their own program that allows them to advance in their chosen career field. This program is offered by Western Kentucky University.,Organizational Leadership,
382,"['Engineering Sciences', 'University College London (UCL)']",United Kingdom,http://www.mastersportal.eu/studies/155455/development-technology-and-innovation-policy.html,,12,months,,,24860,GBP,year,100,"This
unique Master's of Public Administration degree provides professionals working
in international development with the practical tools and skills to collaborate
on policy that responds to the need for balanced growth, social wellbeing and
environmental protection in developing countries.","Development, Technology and Innovation Policy",
383,['Harvard Kennedy School'],United States,http://www.mastersportal.eu/studies/92946/master-in-public-administration-international-development.html,,24,months,0,,47068,USD,year,100,The two-year Master in Public Administration / International Development Program from Harvard Kennedy School is designed to train the next generation of practitioners and leaders in the field of international development.,Master in Public Administration/ International Development,
384,['University of Western Ontario'],Canada,http://www.mastersportal.eu/studies/69107/public-administration.html,,12,months,,,,,,90,"Western's Masters of Public Administration (MPA) is designed for mid-career local government administrators who wish to further their public management skills, as well as for future professionals looking to enter the field.",Public Administration,
385,"['University of Pittsburgh', 'Graduate School of Public and International Affairs']",United States,http://www.mastersportal.eu/studies/100252/public-international-affairs.html,,24,months,,,35904,USD,year,90,"The MPIA degree is a multidisciplinary program designed to prepare students for careers of influence in the international arena – as government policymakers, diplomats, intelligence officials, global business leaders, nonprofit managers, and policy researchers.",Public & International Affairs,
386,['Florida State University'],United States,http://www.mastersportal.eu/studies/61687/public-administration.html,,84,months,,,27288,USD,year,,"The Master of Public Administration (MPA) is the primary professional degree for the practice of public administration. Public administrators are leaders in all types of government organizations as well as nonprofit organizations and some for-profit organizations, especially those that work closely with governments. Our graduates now work in all three types of organizations.",Public Administration,
387,['University of Delaware'],United States,http://www.mastersportal.eu/studies/67931/public-administration.html,,24,months,,,1720,USD,credit,79,"The program in public administration is offered by the School of Public Policy and Administration. The mission of the Master of Public Administration program is to provide diverse, talented graduate students with specific competencies for leadership and management, including the knowledge, skills and values essential to accountable and effective practice.",Public Administration,
388,['Arkansas State University'],United States,http://www.mastersportal.eu/studies/145833/public-administration.html,,24,months,,,6923,USD,semester,,"The MPA Program at Arkansas State University exists to enhance individual, organizational, social and governmental capacity in the public and non-profit sectors by equipping pre-service and mid-career students with sound management skills and public/non-profit philosophy to lead public institutions of the future with integrity, innovation, excellence and professionalism.",Public Administration,
389,['Texas A&M University-Corpus Christi'],United States,http://www.mastersportal.eu/studies/133844/public-administration.html,,24,months,,,12560,USD,module,79,"As part of the National Association of Schools of Public Administration and Affairs (NASPAA), the Masters of Public Administration Program at Texas A&M University-Corpus Christi encourages you to go public with your career.",Public Administration,
390,['Fairfield University'],United States,http://www.mastersportal.eu/studies/140844/public-administration.html,,18,months,,,775,USD,credit,80,"Fairfield University’s new state-accredited Master of Public Administration (MPA) is designed to examine pressing social, ethical, and professional issues, while developing strong leadership abilities for career advancement.",Public Administration,
391,"['Dublin City University', 'Faculty of Humanities & Social Sciences']",Ireland,http://www.mastersportal.eu/studies/89624/public-policy.html,msc,12,months,,,11200,EUR,year,92,This is a new type of professional degree - in many ways a parallel for those in the policy/government sector to an MBA in the commercial sector. It will have an intellectual base and methodological rigour that reflect the needs of a sector facing more nuanced and complex challenges.,Public Policy,
392,['Northern Michigan University'],United States,http://www.mastersportal.eu/studies/171526/administration-and-supervision.html,ma,,,,,12450,USD,year,61,"The master of arts in education with a concentration in administration and supervision provides the skills for beginning principals at the elementary, middle or secondary level.",Administration and Supervision,
393,['University of Massachusetts Boston'],United States,http://www.mastersportal.eu/studies/129786/public-administration.html,,18,months,,,31425,USD,year,79,"The MPA (formerly the MS in Public Affairs) program is an 18-month professional degree program that prepares students for careers in public service and enhances the skills of those already employed in the public sector. The Public Administration program includes intensive analyses of current policy issues and concentrates on topics relating to metropolitan Boston, Massachusetts, and New England.",Public Administration,
394,"['California State University, Bakersfield', 'Graduate']",United States,http://www.mastersportal.eu/studies/72498/public-administration.html,,24,months,,,6738,USD,year,,"The Department of Public Policy and Administration at CSU Bakersfield will foster and enhance critical thinking, communication, management, a public service perspective, and engagement in the policy process among present and future managers in government, nonprofit, and health care organizations within the San Joaquin Valley. ",Public Administration,
395,['Boston University'],United States,http://www.mastersportal.eu/studies/108801/city-planning.html,,24,months,,,49176,USD,year,100,The Master of City Planning (MCP) at Boston University’s Metropolitan College prepares students for a wide variety of professional roles in planning for urban and regional development.,City Planning,
396,['Harvard Kennedy School'],United States,http://www.mastersportal.eu/studies/92976/public-administration.html,,12,months,,7,47068,USD,year,100,"The one-year Master in Public Administration (Mid-Career) program from Harvard Kennedy School is an intensive 8-credit program that enhances the knowledge and skills of established, high-performing professionals who are looking to move up in their public service careers or transition from the private sector to leadership positions in the public or nonprofit sectors.",Public Administration (Mid-Career),
397,['Montana State University - Bozeman'],United States,http://www.mastersportal.eu/studies/110922/public-administration.html,,24,months,,,25100,USD,year,80,"The MPA degree is a professional degree designed to prepare both pre- and mid-career professionals and administrators for supervisory, analytical support and policy-making positions in public sector agencies, and non-profit organizations, at local, state and federal levels. The program stresses sound preparation in wide range of administrative competencies",Public Administration,
398,"['College of Health & Human Services', 'California State University Long Beach']",United States,http://www.mastersportal.eu/studies/74740/graduate-certificate-in-public-sector-employer-employee-relations-and-personnel-management.html,,,,,,,,,61,"This program is designed for public sector managers and those aspiring to enter public service who need the knowledge, skills, and abilities required to deal effectively with the critical area of public sector employee relations and personnel management.",Graduate Certificate in Public Sector Employer-Employee Relations and Personnel Management,
399,['Shippensburg University of Pennsylvania'],United States,http://www.mastersportal.eu/studies/172209/administration-of-justice.html,msc,24,months,,,7900,USD,year,66,"Institutions of social control change constantly due to the public’s demand for a quality system of justice. In this climate, government at all levels is insisting on a higher level of intellectual and educational preparation for those who participate in the operation and administration of its criminal justice systems.",Administration of Justice,
400,['Depaul University'],United States,http://www.mastersportal.eu/studies/132306/public-administration.html,,24,months,,,38410,USD,year,96,"The Master of Public Administration  educates current and future public administrators for leadership roles in local, state and the federal government. ",Public Administration,
401,"['Economic and Management Sciences', 'University of Pretoria']",South Africa,http://www.mastersportal.eu/studies/90604/municipal-administration.html,,12,months,,,997,EUR,module,83,The SPMA’s formal academic offering comprises three undergraduate study programmes (including an undergraduate programme catering for working individuals in the public sector) that provide a solid foundation for postgraduate study.,Municipal Administration,
402,['George Washington University'],United States,http://www.mastersportal.eu/studies/112559/higher-education-administration.html,ma,12,months,,,1220,USD,credit,100,"The HEA Master’s Program is designed to provide students with the skills and knowledge for successful work in entry- and mid- career professional positions in institutions of higher education, post-secondary education and other related organizations.",Higher Education Administration,
403,['Auburn University at Montgomery'],United States,http://www.mastersportal.eu/studies/181499/public-administration.html,msc,24,months,,,866,USD,credit,,"The Commission on Peer Review & Accreditation of the Network of Schools of Public Policy, Affairs, and Administration has reaccredited the AUM M.P.A. program for the full seven-year period through the 2020-2021 academic year. Accredited programs are recognized for their demonstrated commitment to excellence in public service education.",Public Administration,
404,['Kent State University'],United States,http://www.mastersportal.eu/studies/99686/educational-administration-k-12-leadership.html,med,,,,,19362,USD,year,,The Master of Arts and the Master of Education in Educational Administration–K-12 Leadership prepares teachers to become administrators in public and private school settings. This is an academically rigorous and experientially intense program where future school leaders are challenged to excel and take their learning and potential to the next level by developing  knowledge and understanding of current and developing leadership theories and practices in a democratic society.,Educational Administration–K-12 Leadership,
405,['Flinders University'],Australia,http://www.mastersportal.eu/studies/109926/public-administration-and-policy.html,,24,months,,,,,,79,The Master of Public Administration (Policy) is a 72-unit program which is part of the Graduate Program in Public Administration offered by the Faculty of Social and Behavioural Sciences.,Public Administration and Policy,
406,['Texas A&M University'],United States,http://www.mastersportal.eu/studies/97383/public-service-and-administration.html,,21,months,,,20600,USD,year,100,"The Master of Public Service and Administration (MPSA) program develops principled leaders for the public and nonprofit sectors, providing students the tools and knowledge they will need in order to perform effectively and ethically in a time when public servants face new and increased challenges.",Public Service and Administration,
407,['Renmin University of China'],China,http://www.mastersportal.eu/studies/74610/international-public-administration.html,msc,24,months,,,7000,EUR,year,,"The MSc International Public Administration Program in Chinese Public Administration & Policy is a two-year program designed for English-speaking individuals who are interest in in-depth understanding of China's governance, its public policy, its reform, and its future administrative prospects. The program offers a platform for international students to learn more about China's governance, its past lessons and experiences in administrative reform and public policy, and its future prospects. Application deadline is April 30.",International Public Administration,
408,['University of Michigan Flint'],United States,http://www.mastersportal.eu/studies/168714/public-administration-general-program.html,,24,months,,,829,USD,credit,,"The Master of Public Administration Program (MPA) is designed to provide advanced education in administration for persons employed in the public or nonprofit sectors, as well as for those seeking entry to careers in administration.",Public Administration General Program,
409,"['Graduate Studies', 'Dalhousie University']",Canada,http://www.mastersportal.eu/studies/109019/public-administration.html,,24,months,,,17159,CAD,year,92,"The MPA program seeks to equip students with the management skills required by public service organizations and an understanding of the organization, processes and policies of government, its public agencies and the policy groups that work in the public sector. ",Public Administration (MPA),
410,['George Washington University'],United States,http://www.mastersportal.eu/studies/112499/global-public-relations.html,,12,months,,,1600,USD,credit,100,The Graduate Certificate in Global Public Relations prepares students with the strategic and tactical skills needed to excel in the challenging profession of global public relations.,Global Public Relations,
411,['Nanyang Technological University'],Singapore,http://www.mastersportal.eu/studies/68897/public-administration.html,,12,months,,2,10500,USD,semester,89,"This new English Master of Public Administration (MPA) programme is designed to prepare the next generation of public leaders with global vision to meet new challenges in policy making and public governance in the rapidly changing world, combining theory and practice with an emphasis on public policy and administration. ",Public Administration,
412,['Michigan State University'],United States,http://www.mastersportal.eu/studies/98908/judicial-administration.html,msc,24,months,,,,,,80,"The Master of Science degree in Judicial Administration is a Plan B (without thesis) online program designed for individuals desiring a leadership or management career in the judicial administration profession in the United States or internationally. Students who are currently employed in the U.S. federal, state, or local courts or courts in other countries may apply, as well as students wishing to enter a judicial administration career.",Judicial Administration,
413,['Appalachian State University'],United States,http://www.mastersportal.eu/studies/131597/public-administration.html,,24,months,,,2133,USD,module,79,"The Department of Government and Justice Studies also offers a program in Political Science (MA), described under that heading in this bulletin. Graduate programs in the department are supervised by the departmental chair, the individual graduate program directors, and the graduate committee.",Public Administration,
414,"['University of Nevada, Reno']",United States,http://www.mastersportal.eu/studies/121245/public-administration.html,,12,months,,,19698,USD,year,79,"Courses in the University of Nevada, Reno Master of Public Administration are designed to increase the student’s understanding of internal organizational environments and to help the student develop needed managerial skills in public programs.",Public Administration,
415,['Case Western Reserve University'],United States,http://www.mastersportal.eu/studies/63927/social-administration-and-nonprofit-organizations.html,,12,months,,,1419,USD,credit,100,"The Master of Science in Social Administration (MSSA) program prepares students for advanced social work practice in a variety of settings. The master’s curriculum is designed to address the wide range of skills and functions required of a professional social worker. Mandel School students are instructed on the various theories of individual and group behavior as well as community systems theory. The application of this knowledge, along with the appropriate use of practice principles and techniques, is a major educational objective.",Social Administration and Nonprofit Organizations,
416,"['College of Social and Behavioral Sciences', 'California State University Northridge']",United States,http://www.mastersportal.eu/studies/119785/public-administration-public-sector-management-and-leadership.html,,24,months,,,7866,USD,year,79,"The Master in Public Administration - Public Sector Management and Leadership offered by California State University Northridge  is the appropriate professional degree program for administrators who are currently employed in the public, private or nonprofit sectors and who wish to improve their management knowledge and skills.",Public Administration - Public Sector Management and Leadership,
417,"['College of Health & Human Services', 'California State University Long Beach']",United States,http://www.mastersportal.eu/studies/74848/public-administration-option-in-urban-affairs.html,,24,months,,,,,,67,"The Center offers the Master of Public Administration degree; options in the degree program include Public Works Administration and Urban Affairs; and graduate certificate programs in Urban Executive Management, Public Management Analyst, Employer-Employee Relations and Personnel Management, Public Sector Financial Management, and Transportation Policy and Planning.",Public Administration - Option in Urban Affairs,
418,['University of Maryland'],United States,http://www.mastersportal.eu/studies/162779/community-planning.html,,,,,,1404,USD,credit,100,The Urban Studies and Planning Program offers graduate study leading to the Master of Community Planning (MCP) degree.,Community Planning,
419,['Wright State University'],United States,http://www.mastersportal.eu/studies/128204/public-administration.html,,,,,,6360,USD,semester,79,The mission of the Master of Public Administration (MPA) degree program is to prepare students to be successful public and nonprofit administrators and managers in today's metropolitan and global environment. Classes are taught by full-time faculty as well as distinguished public service practitioners in the greater Dayton region. The MPA program is fully accredited by the National Association of Schools in Public Affairs and Administration.,Public Administration (MPA),
420,['Duquesne University'],United States,http://www.mastersportal.eu/studies/144588/school-administration-k-12.html,msc,15,months,,,,,,80,The Master of Science School Administration K-12  is offered by the Duquesne University.,School Administration K-12,
421,"['University of Wisconsin Milwaukee', 'Graduate Programs']",United States,http://www.mastersportal.eu/studies/61675/public-administration.html,,12,months,,,24868,USD,year,79,"The College of Letters and Science and the Lubar School of Business offer and present jointly the Master of Public Administration (MPA). The program is designed to provide theoretical and practical preparation for careers in public and non-profit administration with three areas of concentration: municipal management, general public administration, and non-profit management.",Public Administration,
422,['Regent University'],United States,http://www.mastersportal.eu/studies/183776/nonprofit-and-faith-based-organizations.html,,24,months,,,650,USD,credit,,The Master of Public Administration with a concentration in Nonprofit & Faith-Based Organizations is offered on campus and onlinethrough the Robertson School of Government to students wanting to pursue careers in the fast-growing sectors of nonprofit and faith-based organizations. ,Nonprofit and Faith-Based Organizations,
423,"['Rechtswissenschaftliche Fakultät', 'University of Bern']",Switzerland,http://www.mastersportal.eu/studies/66714/public-management-policy.html,ma,24,months,120,,770,EUR,semester,,"Studies in public administration and professional activity in this field both require knowledge in a wide variety of disciplines, such as, for example, Law, Political Sciences, Economics, Management and Sociology. This degree program offers interdisciplinary training with lectures and seminars and case studies focusing on methodology and subject area.",Public Management & Policy,
424,['University of Illinois at Chicago'],United States,http://www.mastersportal.eu/studies/67330/public-administration.html,,,,,,,,,80,"The UIC MPA program promotes excellence through professional education in a diversity of public service careers in public, nonprofit, and private sectors, informed by scholarly research, engaged with administrative and policy communities, and dedicated to ethical and equitable practice.",Public Administration,
425,"['Sciences Po School of Public Affairs', 'Sciences Po']",France,http://www.mastersportal.eu/studies/152097/public-policy-and-public-administration.html,ma,24,months,,,,,,,"This two-year programme, built on the complementary approaches of two prestigious members of the Global Public Policy Network (GPPN), combines the study of economics, public administration, global health and management.It is designed for young professionals who want to gain an expertise on the management and evaluation of public policy in the European context and at the heart of two major European capitals. During the two year programme, dual degree students develop an understanding of the European project and acquire the professional competencies needed to work in the European affairs.",Public Policy and Public Administration (Dual Degree with LSE),
426,['University of Manitoba'],Canada,http://www.mastersportal.eu/studies/67550/public-administration.html,,24,months,,,10240,USD,module,86,"The objective of the program is to provide students with a sound knowledge in Public Administration. The orientation is interdisciplinary, although the majority of courses are in politics and government. The core courses expose all students to a common set of ideas designed to encourage both innovative and integrative perspectives. Optional courses allow pursuit of individual career interests.",Public Administration,
427,['University of Baltimore'],United States,http://www.mastersportal.eu/studies/191446/public-administration-public-and-nonprofit-management.html,msc,24,months,,,9819,USD,credit,79,"This dual-degree option is an opportunity to develop skills for managerial and legal positions in federal, state or local government agencies as well as in nonprofit or quasi-governmental organizations. You can earn both degrees concurrently by completing all required courses over a three- to four-year period.",Public Administration - Public and Nonprofit Management,
428,"['Murray State University', 'College of Humanities and Fine Arts']",United States,http://www.mastersportal.eu/studies/176238/public-administration.html,,,,,,,,,71,The Master of Public Administration (M.P.A.) degree program prepares students for careers as administrators in public service organizations. The program provides in-service personnel an opportunity to refine their administrative skills, it also provides individuals seeking positions (pre-service) an opportunity to develop administrative skills.,Public Administration
429,['Carnegie Mellon University Australia'],Australia,http://www.mastersportal.eu/studies/91451/public-policy-management-21-month.html,msc,21,months,,,21928,AUD,module,90,"The Master of Science in Public Policy and Management (MSPPM) is a program tailored for students seeking to kick-start their career in positions in policy development, implementation and evaluation, and to manage these functions in government, non-profit organisations, international organisations and the private sector.",Public Policy & Management (MSPPM) - 21 Month,
430,['James Madison University'],United States,http://www.mastersportal.eu/studies/131315/public-administration.html,,,,,,1135,USD,module,88,"The MPA program of James Madison University promotes engaged citizenship and public service responsive to diverse needs and perspectives. The program cultivates effective and ethical analysts, managers and leaders for work in local, national and global contexts.",Public Administration (Concentration in International Stabilization and Recovery),
431,['University of Massachusetts Lowell'],United States,http://www.mastersportal.eu/studies/97568/administration-planning-and-policy.html,postgraddip,,,30,,470,USD,credit,80,"The Online Ed.S. in Administration, Planning and Policy is designed to meet the needs of experienced practitioners who already hold a M.Ed. in a field other than educational administration. Each candidate for the Ed.S. in Administration, Planning and Policy is required to have at least five full years of current K-12 teaching experience in order to enter the program. This program does not lead to licensure.","Administration, Planning and Policy",
432,['Clark Atlanta University'],United States,http://www.mastersportal.eu/studies/186760/public-administration.html,,,,,,861,USD,credit,,"The Public Administration Department was founded in 1975. The program has evolved from a general Master of Public Administration degree to a curriculum that offers five areas of specialization. The Department is accredited by the Network of Schools of Public Public Policy, Affairs and Administration (NASPAA).",Public Administration,
433,['Flinders University'],Australia,http://www.mastersportal.eu/studies/109918/public-administration.html,,24,months,,,28500,AUD,year,79,"The Flinders Institute of Public Policy and Management (FIPPM) offers a comprehensive, articulated program recognised nationally and internationally for academic and professional purposes.",Public Administration,
434,['University of York'],United Kingdom,http://www.mastersportal.eu/studies/6394/public-administration-and-public-policy.html,ma,12,months,,,,,,87,"This degree provides students with an understanding of the complex issues surrounding the formation, implementation and evaluation of public policy.",Public Administration and Public Policy,
435,['Westfield State University'],United States,http://www.mastersportal.eu/studies/179910/non-profit-management.html,,24,months,,,318,USD,credit,90,"The Master of Public Administration program provides a quality graduate degree that is affordable, responsive to local workforce needs and is accessible to working part-time commuting students who seek to serve the public through employment in governmental and other non-profit institutions.",Non-Profit Management,
436,"['University of the Incarnate Word', 'University of the Incarnate Word, H-E-B School of Business and Administration']",United States,http://www.mastersportal.eu/studies/157600/health-administration.html,,24,months,,,16470,USD,year,83,UIW’s H-E-B School of Business and Administration's Master of Health Administration degree is ideal for those currently in the workforce as the courses are offered in the evenings.,Health Administration,
437,"['College of Social and Behavioral Sciences', 'California State University Northridge']",United States,http://www.mastersportal.eu/studies/119794/public-administration-non-profit-sector-management.html,,24,months,,,7866,USD,year,79,"The Master of Public Administration - Non-Profit Sector Management course at California State University Northridge is the appropriate professional degree program for administrators who are currently employed in the public, private or nonprofit sectors and who wish to improve their management knowledge and skills.",Public Administration - Non-Profit Sector Management,
438,"['Faculty of Administration', 'University of Ljubljana']",Slovenia,http://www.mastersportal.eu/studies/51404/administration.html,,24,months,120,,2550,EUR,year,,Our primary goal and vision is quality and that is why the Faculty of Administration ranks as one of the best in the field of public administration not only in Slovenia but also in the SE and Central Europe.,Administration,
439,['University of Tasmania'],Australia,http://www.mastersportal.eu/studies/166199/public-administration.html,,18,months,,,29250,AUD,year,72,The Master of Public Administration (International) is offered at the Hobart campus. It is normally a 1 calendar year (or 3 semesters) full-time or up to 3 years (or 6 semesters) part-time program. Students may enrol for semester 1 or semester 2 entry.,Public Administration (International),
440,['University of North Carolina Wilmington'],United States,http://www.mastersportal.eu/studies/122439/public-administration.html,ma,24,months,,,8210,USD,semester,71,"The Master program in Public Administration at the University of North Carolina Wilmington offers critical skill courses for effective public and nonprofit policy and management, a flexible curriculum that allows students to fully prepare for career goals, outstanding faculty with academic and professional experience, full-time and part-time tracks, afternoon and evening courses to meet almost everyone's scheduling needs, and great internship opportunities.",Public Administration,
441,['CUNY John Jay College of Criminal Justice'],United States,http://www.mastersportal.eu/studies/170317/public-administration-inspection-and-oversight.html,,,,,,,,,61,The mission of the Master of Public Administration in Inspection and Oversight Program at John Jay College of Criminal Justice is to prepare students for public service careers in inspection and oversight organizations and to advance the study of Public Administration through scholarly and applied research and community service. ,Public Administration- Inspection and Oversight,
442,"['Department of Government', 'London School of Economics and Political Science']",United Kingdom,http://www.mastersportal.eu/studies/12709/mpa.html,msc,22,months,,,24384,GBP,year,107,"The two-year Master of Public Administration (MPA) programme is ideal for current and future government advisers, policy-makers and policy analysts from around the world. ",MPA,
443,['University of Massachusetts Amherst'],United States,http://www.mastersportal.eu/studies/113746/public-policy-administration.html,,24,months,,,21442,USD,year,80,"The Master’s Degree in Public Policy and Administration program is a professional academic program intended to prepare students for careers as public managers, policy analysts, advocates, and public leaders.",Public Policy & Administration,
444,['University of Illinois Springfield'],United States,http://www.mastersportal.eu/studies/167823/public-administration.html,,24,months,,,675,USD,credit,,The UIS Master’s of Public Administration degree (MPA) strives to advance the public interest and civic engagement. We educate current and future governmental and nonprofit public service professionals through the innovative integration of disciplinary knowledge and skills with practice. ,Public Administration,
445,['Virginia Commonwealth University'],United States,http://www.mastersportal.eu/studies/118270/public-administration.html,,24,months,,,,,,,"The mission of the Master of Public Administration Program is to develop creative, principled leaders who understand the demands placed upon local, national and global public and nonprofit institutions and are equipped with skills in program management and policy analysis.",Public Administration (Concentration in Human Resource Management),
446,['Beijing Normal University'],China,http://www.mastersportal.eu/studies/61964/educational-leadership-and-policy.html,,24,months,,,9325,EUR,full,,"The Master Program in Educational Leadership and Policy (Comparative Education) for International Students requires the completion of a number of credit modules and a master thesis. As a unique feature of the program, it allows students to use knowledge and abilities developed through their taught modules to examine an issue relevant to their own professional lives or interests. In this way, the program aims to develop effective managers and leaders in education.",Educational Leadership and Policy (Comparative Education),
