,Country,CourseLink,CourseName,Duration,From,International Entry Req,The World Rank,Tuition fees,University,Venue
106, New Zealand,https://www.hotcoursesabroad.com/india/course/newzealand/master-of-science-msc-biotechnology/56420180/program.html?nationCode=87&nationCntryCode=87,Master of Science (MSc) in Biotechnology,"Full Time
(1 year)","24-Jul-17, 26-Feb-18, 16-Jul-18","Applicants must have completed a BSc(Hons) or a PGDipSci in Biomedical Science, or an equivalent qualification as approved by the Board of Studies (Biomedical Science). Applicants must also fulfill any one of the following English language requirements: overall paper-based TOEFL score of 575 plus essay (TWE) of 4.5; Cambridge English: Advanced (CAE) score of 58 or higher, no individual language skill below borderline; Cambridge English Proficiency (CPE) score of 45 or higher; Pearson Test of English (PTE) academic overall score of 64 and no PTE communicative skills score below 58; Michigan English Language Assessment Battery (MELAB) score of 85.", 165,"NZ$38,062.00 (17,52,078) 
per year	
Tuition fee per point - NZ $317.18; Annual tuition fee based on 120 points",University of Auckland,"University of Auckland

City Campus,
22 Princes Street,
AUCKLAND CITY,
Auckland Central,
1010, New Zealand, North Island"
107, New Zealand,https://www.hotcoursesabroad.com/india/course/newzealand/postgraduate-diploma-science-pgdipsci-biotechnology/56418554/program.html?nationCode=87&nationCntryCode=87,Postgraduate Diploma in Science (PGDipSci) in Biotechnology,"Full Time
(1 year)","24-Jul-17, 26-Feb-18, 16-Jul-18","The prerequisite is a major in Biotechnology and at least 90 points at Stage III.
Applicants must also fulfill any one of the following English language requirements: overall paper-based TOEFL score of 575 plus essay (TWE) of 4.5; Cambridge English: Advanced (CAE) score of 58 or higher, no individual language skill below borderline; Cambridge English Proficiency (CPE) score of 45 or higher; Pearson Test of English (PTE) academic overall score of 64 and no PTE communicative skills score below 58; Michigan English Language Assessment Battery (MELAB) score of 85.", 165,"NZ$38,062.00 (17,52,078) 
per year",University of Auckland,"University of Auckland

City Campus,
22 Princes Street,
AUCKLAND CITY,
Auckland Central,
1010, New Zealand, North Island"
108, Netherlands,https://www.hotcoursesabroad.com/india/course/netherlands/msc-molecular-biology-and-biotechnology/52723738/program.html?nationCode=87&nationCntryCode=87,MSc in Molecular Biology and Biotechnology,"Full Time
(24 Months)",01-Sep-17,"A university Bachelor's degree in one of the following fields:

Biology or Life Science and Technology, majoring in Molecular Life Sciences or Biomedical Sciences
Biology, including the specialization Molecular Biology or Biotechnology or the specialization Medical Biology (incl. completed courses on General Chemistry and Bioinformatics)
Chemistry, including the specialization Biochemistry or Biophysical Chemistry
Life Science and Technology, with the specialization Genomics and Proteomics or Molecular Medical Cell Biology.

English Language requirements: TOEFL computer based - 237; TOEFL paper based - 580.", 80,"€14,200.00 (10,31,663) 
per year",University of Groningen,"University of Groningen

Broerstraat 5, Academy building,
GRONINGEN,
Groningen,
9712, Netherlands"
109, Netherlands,https://www.hotcoursesabroad.com/india/course/netherlands/msc-molecular-biology-and-biotechnology-biomolecular-sciences/56535704/program.html?nationCode=87&nationCntryCode=87,MSc in Molecular Biology and Biotechnology - Biomolecular Sciences,"Full Time
(24 Months)",01-Sep-17,"Applicants must have a Bachelor's degree in one of the following fields (this is an indication): Biology or Life Science & Technology, including a major in Molecular Life Sciences Biology, Biomedical Sciences or equivalent, including a major or minor in Molecular Biology, or courses on General Chemistry, Bioinformatics and Biotechnology Chemistry, including the specialization Biochemistry or Biophysical Chemistry, the major 'Chemistry of Life', or equivalent. English Language requirements: TOEFL computer based - 237; TOEFL paper based - 580.", 80,"€14,200.00 (10,31,663) 
per year",University of Groningen,"University of Groningen

Broerstraat 5, Academy building,
GRONINGEN,
Groningen,
9712, Netherlands"
110, UK,https://www.hotcoursesabroad.com/india/course/uk/medical-biotechnology-and-business-management-msc/56369456/program.html?nationCode=87&nationCntryCode=87,Medical Biotechnology and Business Management MSc,"Full Time
(1 year)",Jan,Applicants whose 1st language is not English require IELTS 6.5., 82,"£23,460.00 (19,47,309) 
per year",University of Warwick,"University of Warwick

Coventry,
Coventry,
CV4 7AL, England"
111, Netherlands,https://www.hotcoursesabroad.com/india/course/netherlands/msc-biofabrication/56535652/program.html?nationCode=87&nationCntryCode=87,MSc in Biofabrication,"Full Time
(2 years)","29 Sep, 23 Jan","Applicants must hold a BSc or equivalent qualification in:


Biomedical or other Life Sciences
Medicine
University College
Biology
Pharmaceutical Sciences
Chemistry, if including a biomedical component.

The suitability of your specific background will be evaluated by the programme committee upon application.
Other English language requirements: Cambridge Certificate in Advanced English, at least a B grade; Cambridge Certificate of Proficiency in English, at least a C grade.", 86,"Statutory fee: €1,984.",Utrecht University,"Utrecht University

Administration Building, Room 433,
Heidelberglaan 8,
UTRECHT,
Utrecht,
3584 CS, Netherlands"
112, UK,https://www.hotcoursesabroad.com/india/course/uk/biotechnology-and-management-msc/56836662/program.html?nationCode=87&nationCntryCode=87,Biotechnology and Management MSc,"Full Time
(12 months)",Sep-17,"Students whose first language is not English need to have IELTS Academic: overall score 6.5; no sub-test less than 6.0 or equivalent scores in another recognised qualification; TOEFL- iBT: 90 (Reading: 20, Listening: 19, Speaking: 19, Writing: 23).", 88,"£19,500.00 (16,18,607) 
per year",University of Glasgow,"University of Glasgow

The Fraser Building,
65 Hillhead Street,
Glasgow,
Glasgow,
G12 8QQ, Scotland"
113, UK,https://www.hotcoursesabroad.com/india/course/uk/biotechnology-and-management-pgdip/56836684/program.html?nationCode=87&nationCntryCode=87,Biotechnology and Management PgDip,"Full Time
(9 months)",Sep-17,"Students whose first language is not English need to have IELTS Academic: overall score 6.5; no sub-test less than 6.0 or equivalent scores in another recognised qualification; TOEFL- iBT: 90 (Reading: 20, Listening: 19, Speaking: 19, Writing: 23).", 88,"£13,000.00 (10,79,072) 
per year",University of Glasgow,"University of Glasgow

The Fraser Building,
65 Hillhead Street,
Glasgow,
Glasgow,
G12 8QQ, Scotland"
114, UK,https://www.hotcoursesabroad.com/india/course/uk/biotechnology-msc/52281248/program.html?nationCode=87&nationCntryCode=87,Biotechnology MSc,"Full Time
(12 months)",Sep-17,"Students whose first language is not English need to have IELTS Academic: overall score 6.5; no sub-test less than 6.0 or equivalent scores in another recognised qualification; TOEFL- iBT: 90 (Reading: 20, Listening: 19, Speaking: 19, Writing: 23).", 88,"£19,500.00 (16,18,607) 
per year",University of Glasgow,"University of Glasgow

The Fraser Building,
65 Hillhead Street,
Glasgow,
Glasgow,
G12 8QQ, Scotland"
115, Sweden,https://www.hotcoursesabroad.com/india/course/sweden/master-of-science-applied-biotechnology/56550734/program.html?nationCode=87&nationCntryCode=87,Master of Science in Applied Biotechnology,"Full Time
(2 Years)",28-Aug-17,"Students must have bachelor degree, equivalent to a Swedish degree of at least 180 credits (i.e. three years of full-time study) in molecular biology, biology, biochemistry, bioinformatics, biotechnology, chemistry, medical technology/informatics, pharmacy or biophysics. Also required is knowledge and practical experience of laboratory experiments in biology, and molecular biology: cell biology, molecular biology and molecular genetics corresponding to approximately 20 weeks of full-time studies, Proof of skills in English to a level corresponding to English B in the Swedish secondary school.
Other English Language requirements: TOEFL: Paper-based: 575.", 93,"SEK145,000.00 (10,84,499) 
per year	
First semester fee: SEK 72500. Entire course fee: SEK 290000",Uppsala University,"Uppsala University

UPPSALA,
SE-751 05, Sweden"
116, Sweden,https://www.hotcoursesabroad.com/india/course/sweden/master-of-science-molecular-biotechnology/52817160/program.html?nationCode=87&nationCntryCode=87,Master of Science in Molecular Biotechnology,"Full Time
(2 Years)",28-Aug-17,"Students must have bachelor degree in any of the natural sciences, medicine, pharmacy, computer science, engineering, mathematics, equivalent to a Swedish degree of at least 180 credits (i.e. three years of full-time study), Proof of skills in English to a level corresponding to English B in the Swedish secondary school.
Other English Language requirements: TOEFL: Paper-based: 575.", 93,"SEK145,000.00 (10,84,499) 
per year	
First semester fee: SEK 72500. Entire course fee: SEK 290000",Uppsala University,"Uppsala University

UPPSALA,
SE-751 05, Sweden"
117, Sweden,https://www.hotcoursesabroad.com/india/course/sweden/licentiate-degree-biotechnology/56544240/program.html?nationCode=87&nationCntryCode=87,Licentiate Degree in Biotechnology,"Full Time
(2 years)",28-Aug-17,, 96,Contact provider,Lund University,"Lund University

Paradisgatan 2,
LUND,
SE-221 00, Sweden"
118, Sweden,https://www.hotcoursesabroad.com/india/course/sweden/master-programme-biotechnology/52816466/program.html?nationCode=87&nationCntryCode=87,Master Programme in Biotechnology,"Full Time
(2 Years)",28-Aug-17,"A Bachelor’s degree in biotechnology, biochemical engineering, food technology or equivalent including courses in mathematics, microbiology and biochemistry. English 6/English Course B.
Other English language requirements:
English 6: TOEFL iBT Score of 4.5 (scale 1-6) in written test, total score of 575; Michigan English Language Assessment Battery (MELAB), for English 6, minimum score of 90; Pearson PTE Academic Score of 62 (writing 61) and Cambridge English: Advanced (Certificate in Advanced English).", 96,"SEK145,000.00 (10,84,499) 
per year",Lund University,"Lund University

Paradisgatan 2,
LUND,
SE-221 00, Sweden"
119, Sweden,https://www.hotcoursesabroad.com/india/course/sweden/master-programme-molecular-biology-molecular-genetics-and-biotechnology/56539752/program.html?nationCode=87&nationCntryCode=87,"Master Programme in Molecular Biology, Molecular Genetics and Biotechnology","Full Time
(2 Years)",28-Aug-17,"A Bachelor´s degree including Cell- and Molecular Biology 30 credits, Genetics 7,5 credits, Microbiology 7,5 credits, Biochemistry 15 credits, and Chemistry 20 credits. English 6/English Course B.
Other English language requirements:
English 6: TOEFL iBT Score of 4.5 (scale 1-6) in written test, total score of 575; Michigan English Language Assessment Battery (MELAB), for English 6, minimum score of 90; Pearson PTE Academic Score of 62 (writing 61) and Cambridge English: Advanced (Certificate in Advanced English).", 96,"SEK145,000.00 (10,84,499) 
per year",Lund University,"Lund University

Paradisgatan 2,
LUND,
SE-221 00, Sweden"
120, Sweden,https://www.hotcoursesabroad.com/india/course/sweden/phd-doctor-of-philosophy-biotechnology/52849650/program.html?nationCode=87&nationCntryCode=87,PhD - Doctor of Philosophy in Biotechnology,"Full Time
(4 years)",28-Aug-17,, 96,Contact provider,Lund University,"Lund University

Paradisgatan 2,
LUND,
SE-221 00, Sweden"
121, USA,https://www.hotcoursesabroad.com/india/course/us-usa/master-of-science-biotechnology-management/56139860/program.html?nationCode=87&nationCntryCode=87,Master of Science in Biotechnology Management,"Full Time
(2 years)",24 Sep,"Prerequisite requirements include a B.A. or B.S. degree in biological sciences or related discipline and several specific elective and laboratory courses. Admission to graduate standing in MB&B; is generally accorded to those possessing a B.S. degree in biological sciences or an allied field obtained with an acceptable level of scholarship from an institution of recognized standing. Those seeking admission without the prerequisite scholarship record may, in some cases, undertake remedial work; if such work is completed at the stipulated academic level, the applicant will be considered for admission. Those admitted from an allied field may be required to take supplementary upper-division courses in basic engineering subjects. The Graduate Record Examination (GRE) General Test is required of all applicants. Courses should include general chemistry with laboratory, calculus, physics, organic chemistry, genetics, biochemistry, molecular biology, microbiology, immunology, and virology, as well as laboratory courses in biochemistry, molecular biology, microbiology, and either animal virology or immunology.", 98,"$26,322.00 (16,95,110) 
per year	
The annual tuition fees includes USD $11,220 tuition and USD $15,102 nonresident supplemental tuition",University of California Irvine,"School of Biological Sciences, Department of Molecular Biology and Biochemistry

3205 McGaugh Hall,
University of California, Irvine,
IRVINE,
California,
92697, United States"
122, USA,https://www.hotcoursesabroad.com/india/course/us-usa/master-of-science-concentration-biotechnology/52121/program.html?nationCode=87&nationCntryCode=87,Master of Science with a Concentration in Biotechnology,"Full Time
(2 years)",24 Sep,"The Department of Molecular Biology and Biochemistry evaluates applicants to the program on the basis of grades, letters of recommendation, GRE scores, and other relevant qualifications. Applicants should have successfully completed a B.S. degree or equivalent. Courses should include general chemistry with laboratory, calculus, physics, organic chemistry, genetics, biochemistry, molecular biology, microbiology, immunology, and virology, as well as laboratory courses in biochemistry, molecular biology, microbiology, and either animal virology or immunology. Enrollment in the stem cell biology emphasis is limited to eight continuing students per year. Biotechnology graduate students interested in this track apply for admission during the winter quarter of their first year in the program.", 98,"$26,322.00 (16,95,110) 
per year	
The annual tuition fees includes USD $11,220 tuition and USD $15,102 nonresident supplemental tuition",University of California Irvine,"School of Biological Sciences, Department of Molecular Biology and Biochemistry

3205 McGaugh Hall,
University of California, Irvine,
IRVINE,
California,
92697, United States"
123, USA,https://www.hotcoursesabroad.com/india/course/us-usa/master-of-science-biotechnology/56549192/program.html?nationCode=87&nationCntryCode=87,Master of Science in Biotechnology,"Full Time
(30 credit hours)","31 Aug, 11 Jan","Applicants to the program must be in the last semester of undergraduate study or hold a bachelor's degree in biology, chemistry, engineering, or related sciences from an accredited college or university. Applicants with business, law or other degrees will be considered on a case by case basis.
Other English Language Requirements: a minimum score of TOEFL is 550 (paper-based test).", 104,"$49,332.00 (31,76,931) 
per year",Georgetown University,"Georgetown University Medical Center

Suite 120,
4000 Reservoir Road, N.W,
WASHINGTON,
District Of Columbia,
20057, United States"
124, Canada,https://www.hotcoursesabroad.com/india/course/canada/doctor-of-philosophy-phd-microbiology-and-biotechnology/56777354/program.html?nationCode=87&nationCntryCode=87,Doctor of Philosophy (Phd) in Microbiology and Biotechnology,"Full Time
(5 years)","05-Sep-17, 08-Jan-18","English Language Requirement:
Pearson Test of Enlish Academic (PTE Academic)Overall minimum score of 68
Michigan English Language Assessment Battery (MELAB) Overall minimum score of 85", 107,"CAN $8,790 per year approximately.",University of Alberta,"University of Alberta

116 St,
85 Ave,
EDMONTON,
Alberta (AB),
T6G 2R3, Canada"
125, UK,https://www.hotcoursesabroad.com/india/course/uk/molecular-biology-and-biotechnology-msc/56682590/program.html?nationCode=87&nationCntryCode=87,Molecular Biology and Biotechnology MSc,"Full Time
(1 year)",25-Sep-17,"Students need to have overall IELTS grade of 7.0 with a minimum of 6.0 in each component, or equivalent.", 109,"£20,470.00 (16,99,123) 
per year",University of Sheffield,"University of Sheffield

Western Bank,
Sheffield,
Sheffield,
S10 2TN, England"
126, Germany,https://www.hotcoursesabroad.com/india/course/germany/master-of-science-molecular-biology-and-biotechnology/56261438/program.html?nationCode=87&nationCntryCode=87,Master of Science in Molecular Biology and Biotechnology,"Full Time
(2 years)",09-Oct-17,"Students must have pertinent first university degree qualifying for a career (Bachelor, Diploma, State Examination) in one of the disciplines: agricultural science, biochemistry, bioengineering, biology, biotechnology, chemistry, nutrition, food-chemistry, food technology, medicine, pharmacy (for applicants from German universities: 2nd part of the pharmaceutical examination), dentistry or equivalent degree.
English Language Requirements:
TOEFL score PBT 550 or CBT 213 with a favorable distribution of points in the listening, reading, writing, and speaking parts.", 113,"No tuition fee, student services contribution (Sozialbeitrag): 271,97 € per semester including a transportation ticket for Northrhine-Westphalia (as of winter term 2016/2017).",University of Bonn,"University of Bonn

Regina-Pacis-Weg 3,
BONN,
North Rhine-Westphalia,
53113, Germany"
127, UK,https://www.hotcoursesabroad.com/india/course/uk/biodevices-msc/55487140/program.html?nationCode=87&nationCntryCode=87,Biodevices MSc,"Full Time
(12 months)",Sep-17,Students need an IELTS 6.5 overall with at least 6.0 in each competency., 121,"£20,550.00 (17,05,763) 
per year",University of Southampton,"Highfield Campus

Highfield,
Southampton,
Southampton,
SO17 1BJ, England"
